ticker,year,marketcap,eps,earnings_rate,price,price_rate,pe_ratio,roe,sh_equity,sh_return,real_change
PEP,2023,233507,6.59,0.1287,169.7,0.0696,25.73,50.4,18503,3.19,-2.1
PEP,2022,248897,6.45,0.1229,180.36,0.095,27.94,48.9,17149,2.64,-5.91
PEP,2021,234747,5.51,0.1141,169.86,0.1124,30.82,49.8,16043,2.72,6.18
PEP,2020,200467,5.14,0.1018,144.74,0.0961,28.16,53.8,13454,3.87,17.35
PEP,2019,191791,5.23,0.1069,137.09,0.0904,26.22,51.3,14786,4.06,5.58
PEP,2018,155781,8.84,0.1601,110.09,0.0712,12.45,109.3,14518,4.2,24.52
PEP,2017,170543,3.4,0.0023,119.68,0.0934,35.11,39.8,11045,3.56,-8.01
PEP,2016,150059,4.39,0.018,104.28,0.0446,23.71,53.1,11246,5.02,14.77
PEP,2015,146472,3.71,0.0004,99.71,0.0651,26.87,37.5,12068,5.45,4.58
PEP,2014,145246,4.31,0.0611,96.25,0.0677,22.3,29.8,17578,4.72,3.59
PEP,2013,126844,4.37,0.0613,82.31,0.0641,18.82,29.3,24409,3.65,16.94
PEP,2012,105217,3.96,0.0713,67.58,0.053,17.03,28.3,22417,4.48,21.81
PEP,2011,103732,4.08,0.0969,65.82,0.0628,16.1,28.5,20704,4.15,2.67
PEP,2010,104108,3.97,0.1225,65.48,0.0456,16.47,30.6,21273,0.55,0.52
PEP,2009,95125,3.81,0.1093,61.06,0.0365,16.0,40.9,16908,2.59,7.24
PEP,2008,84738,3.26,0.0936,54.56,0.0684,16.48,33.2,12203,6.52,11.9
PEP,2007,123995,3.48,0.1322,77.02,0.0872,21.92,34.8,17325,3.77,-29.15
PEP,2006,102712,3.42,0.1242,62.55,0.0795,18.2,36.6,15447,2.93,23.12
MCD,2024,211814,11.43,0.0889,291.35,0.143,25.73,-154.1,-4854,3.36,
MCD,2022,193016,8.39,0.0337,261.89,0.1261,31.25,-99.1,-6003,3.5,11.25
MCD,2021,200314,10.11,0.0563,268.52,0.1403,26.55,-129.4,-4601,1.77,-2.47
MCD,2020,159886,6.35,-0.0106,214.61,0.0993,33.8,-54.0,-7824,4.23,25.12
MCD,2019,148819,7.95,0.0258,196.33,0.1231,24.7,-79.9,-8210,5.03,9.31
MCD,2018,136891,7.61,0.0335,175.95,0.1361,23.11,-100.3,-6258,6.07,11.58
MCD,2017,137212,6.43,0.024,170.03,0.1326,26.43,-192.7,-3268,7.51,3.48
MCD,2016,101082,5.49,0.101,118.36,0.0895,21.57,2778.8,-2204,11.83,43.65
MCD,2015,108480,4.82,0.0611,115.53,0.1223,23.95,48.5,7088,7.13,2.45
MCD,2014,91189,4.85,0.1067,92.96,0.1308,19.17,32.4,12853,5.46,24.28
MCD,2013,96548,5.59,0.1389,96.74,0.141,17.28,36.3,16010,4.59,-3.91
MCD,2012,88561,5.41,0.1975,87.68,0.1617,16.21,37.8,15294,5.66,10.33
MCD,2011,102659,5.33,0.2701,99.48,0.2357,18.66,38.5,14390,5.78,-11.85
MCD,2010,81097,4.64,0.2071,76.08,0.1579,16.4,35.6,14634,5.35,30.76
MCD,2009,67384,4.17,0.1783,61.71,0.1079,14.81,34.2,14034,6.67,23.29
MCD,2008,69314,3.83,0.1739,61.5,0.0894,16.07,31.1,13383,8.03,0.33
MCD,2007,69676,2.02,0.1134,58.65,0.0905,29.09,15.7,15280,5.69,4.86
MCD,2006,54825,2.87,0.1431,44.43,0.1211,15.47,22.9,15458,4.07,32.01
TMO,2024,211670,15.52,0.1557,546.95,0.1987,35.46,12.83,46724,1.53,
TMO,2023,215870,15.53,0.1605,559.25,0.2279,31.06,13.63,43978,1.73,-2.2
TMO,2022,262893,17.73,0.2299,670.65,0.309,34.03,17.04,40793,0.91,-16.61
TMO,2021,184449,19.62,0.2501,468.14,0.3021,28.93,22.39,34507,0.68,43.26
TMO,2020,129948,16.09,0.2138,328.15,0.2327,35.16,21.48,29675,1.22,42.66
TMO,2019,89964,9.24,0.1648,224.91,0.2041,30.62,13.4,27586,1.03,45.9
TMO,2018,75003,7.31,0.1604,186.57,0.2269,33.71,11.56,25413,-1.69,20.55
TMO,2017,55706,5.64,0.1087,141.03,0.146,27.55,10.33,21540,0.28,32.3
